 Вася        320           2            5                    2          0      31,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       5,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       6,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     Bodya          0           3            5                    2          0       7,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
